,name,type,label,exclam.,det.,conj.,number,pron.,prep.,adv.,adj.,v.,n.
10220,diplomat ,n.,C1,0,0,0,0,0,0,0,0,0,1
10221,diplomatic ,n.,C1,0,0,0,0,0,0,0,0,0,1
10222,directory ,n.,C1,0,0,0,0,0,0,0,0,0,1
10223,disastrous ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10224,discard ,v.,C1,0,0,0,0,0,0,0,0,1,0
10225,discharge ,v.,C1,0,0,0,0,0,0,0,0,1,0
10226,disclose ,v.,C1,0,0,0,0,0,0,0,0,1,0
10227,disclosure ,n.,C1,0,0,0,0,0,0,0,0,0,1
10228,discourse ,n.,C1,0,0,0,0,0,0,0,0,0,1
10229,discretion ,n.,C1,0,0,0,0,0,0,0,0,0,1
10230,discrimination ,n.,C1,0,0,0,0,0,0,0,0,0,1
10231,dismissal ,n.,C1,0,0,0,0,0,0,0,0,0,1
10232,displace ,v.,C1,0,0,0,0,0,0,0,0,1,0
10233,disposal ,n.,C1,0,0,0,0,0,0,0,0,0,1
10234,dispose ,v.,C1,0,0,0,0,0,0,0,0,1,0
10235,dispute ,"n.,v.",C1,0,0,0,0,0,0,0,0,1,1
10236,dispute ,"n.,v.",C1,0,0,0,0,0,0,0,0,1,1
10237,disrupt ,v.,C1,0,0,0,0,0,0,0,0,1,0
10238,disruption ,n.,C1,0,0,0,0,0,0,0,0,0,1
10239,dissolve ,v.,C1,0,0,0,0,0,0,0,0,1,0
10240,distinction ,n.,C1,0,0,0,0,0,0,0,0,0,1
10241,distinctive ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10242,distort ,v.,C1,0,0,0,0,0,0,0,0,1,0
10243,distress ,"n.,v.",C1,0,0,0,0,0,0,0,0,1,1
10244,distress ,"n.,v.",C1,0,0,0,0,0,0,0,0,1,1
10245,disturbing ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10246,divert ,v.,C1,0,0,0,0,0,0,0,0,1,0
10247,divine ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10248,doctrine ,n.,C1,0,0,0,0,0,0,0,0,0,1
10249,documentation ,n.,C1,0,0,0,0,0,0,0,0,0,1
10250,domain ,n.,C1,0,0,0,0,0,0,0,0,0,1
10251,dominance ,n.,C1,0,0,0,0,0,0,0,0,0,1
10252,donor ,n.,C1,0,0,0,0,0,0,0,0,0,1
10253,dose ,n.,C1,0,0,0,0,0,0,0,0,0,1
10254,drain ,v.,C1,0,0,0,0,0,0,0,0,1,0
10255,drift ,v.,C1,0,0,0,0,0,0,0,0,1,0
10256,driving ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10257,drown ,v.,C1,0,0,0,0,0,0,0,0,1,0
10258,dual ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10259,dub ,v.,C1,0,0,0,0,0,0,0,0,1,0
10260,dumb ,adj.,C1,0,0,0,0,0,0,0,1,0,0
10261,duo ,n.,C1,0,0,0,0,0,0,0,0,0,1
10262,dynamic ,n.,C1,0,0,0,0,0,0,0,0,0,1
10263,eager ,adj.,C1,0,0,0,0,0,0,0,1,0,0
